Heigh,Width,Year_w,currentBid,itemId,lotNumber,presaleEstimateHigh,presaleEstimateLow,priceRealised,startingBid,durationDays,saleUnif,isTitled,oil,ink,color,gouache,pastel,silver gelatin,chromogenic,charcoal,pigment,etching,leaf,leaves,Opaque pigments,pencil,acrylic,watercolor,pen,marble dust,scroll,engraving,mezzotint,aquatint,digital,casein,handmade paper,cardboard,lithograph,silkscreen,canvas,silk,print,prints,board,wove paper,masonite,paperboard,isSet,age,area,Style_American,Style_Asia,Style_China,Style_India,Style_Latin America,Style_Masters,Style_Nature,saleCurrency_GBP,saleCurrency_HKD,saleCurrency_USD,Year_s_2017,Year_s_2018,Year_s_2019,SP,Dow,t-bill,NASDAQ
60.0,69.0,2001.0,7500.0,41311,71,7000.0,5000.0,9375.0,5000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,16,4140.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
30.4,30.4,2001.0,11000.0,41312,72,6000.0,4000.0,13750.0,4000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,16,924.16,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
80.5,62.0,2001.0,3000.0,41314,74,3000.0,2000.0,3750.0,2000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,16,4991.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
77.0,100.5,2005.0,7000.0,41315,75,7000.0,5000.0,8750.0,5000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,12,7738.5,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
33.0,44.0,2011.0,2800.0,41316,76,3000.0,2000.0,3500.0,2000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,1452.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
138.0,104.0,2006.0,3000.0,41317,77,5000.0,3000.0,3750.0,3000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,11,14352.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
50.8,48.0,2015.0,1400.0,41318,78,1500.0,1000.0,1750.0,1000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,2438.4,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
7.0,12.0,2016.0,900.0,41320,80,1800.0,1200.0,1125.0,900.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,84.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
23.0,18.0,2003.0,1700.0,41323,83,600.0,400.0,2125.0,300.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14,414.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
11.5,8.0,2012.0,1200.0,41324,84,1200.0,800.0,1500.0,800.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,92.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
